Data;7326 - Produto Interno Bruto - Taxa de variação real no ano - Var. % anual
1962;6,60
1963;0,60
1964;3,40
1965;2,40
1966;6,70
1967;4,20
1968;9,80
1969;9,50
1970;10,40
1971;11,34
1972;11,94
1973;13,97
1974;8,15
1975;5,17
1976;10,26
1977;4,93
1978;4,97
1979;6,76
1980;9,23
1981;-4,25
1982;0,83
1983;-2,93
1984;5,40
1985;7,85
1986;7,49
1987;3,53
1988;-0,06
1989;3,16
1990;-4,35
1991;1,03
1992;-0,54
1993;4,92
1994;5,85
1995;4,22
1996;2,21
1997;3,39
1998;0,34
1999;0,47
2000;4,39
2001;1,39
2002;3,05
2003;1,14
2004;5,76
2005;3,20
2006;3,96
2007;6,07
2008;5,09
2009;-0,13
2010;7,53
2011;3,97
2012;1,92
2013;3,00
2014;0,50
2015;-3,55
2016;-3,28
2017;1,32
2018;1,78
2019;1,22
2020;-3,28
2021;4,76
2022;3,02
2023;2,91
Fonte;IBGE
